id,Review,Sentence Component,aspect_text,aspect,sentiment_text,sentiment
2401,kiến thức rất nhiều và trừu tượng giảng viên nên thêm những phương pháp giảng dạy mới cho giờ học hiệu quả hơn .,kiến thức rất nhiều và trừu tượng,kiến thức,Teaching quality,rất nhiều và trừu tượng,Positive
2401,kiến thức rất nhiều và trừu tượng giảng viên nên thêm những phương pháp giảng dạy mới cho giờ học hiệu quả hơn .,giảng viên nên thêm những phương pháp giảng dạy mới cho giờ học hiệu quả hơn,giảng viên,Teaching quality,nên thêm những phương pháp giảng dạy mới cho giờ học hiệu quả hơn,Positive
2402,phòng máy ngon hơn .,phòng máy ngon hơn,phòng máy,Learning environment,ngon hơn,Positive
2403,giáo viên dạy nhiệt tình dễ hiểu .,giáo viên dạy nhiệt tình dễ hiểu,giáo viên,Teaching quality,dạy nhiệt tình dễ hiểu,Positive
2404,giao nhiều bài tập về nhà .,giao nhiều bài tập về nhà,bài tập về nhà,Workload,giao nhiều,Negative
2405,giảng bài rất hay .,giảng bài rất hay,giảng bài,Teaching quality,rất hay,Positive
2406,phù hợp với thực tiễn .,phù hợp với thực tiễn,thực tiễn,Course information,phù hợp,Positive
2407,"thầy dạy nhiệt tình , giải đáp thắc mắc của học sinh một cách tận tình .",thầy dạy nhiệt tình,thầy dạy,Teaching quality,nhiệt tình,Positive
2407,"thầy dạy nhiệt tình , giải đáp thắc mắc của học sinh một cách tận tình .",giải đáp thắc mắc của học sinh một cách tận tình,giải đáp thắc mắc,Support from lecturers,tận tình,Positive
2408,thực hiện nhóm nhiều .,thực hiện nhóm nhiều,thực hiện nhóm,Workload,nhiều,Negative
2409,nội dung giảng dạy còn quá chung chung .,nội dung giảng dạy còn quá chung chung,nội dung giảng dạy,Teaching quality,còn quá chung chung,Neutral
2410,"dạy kỹ , sinh viên học cảm thấy dễ hiểu , vận dụng được nhiều kiến thức để học môn này .",dạy kỹ,dạy,Teaching quality,kỹ,Positive
2410,"dạy kỹ , sinh viên học cảm thấy dễ hiểu , vận dụng được nhiều kiến thức để học môn này .",sinh viên học cảm thấy dễ hiểu,sinh viên,Teaching quality,học cảm thấy dễ hiểu,Positive
2410,"dạy kỹ , sinh viên học cảm thấy dễ hiểu , vận dụng được nhiều kiến thức để học môn này .",vận dụng được nhiều kiến thức để học môn này,môn này,Teaching quality,vận dụng được nhiều kiến thức,Positive
2411,"thầy không dạy kỹ , bỏ sót một số phần và không sử dụng giờ lên lớp hiệu quả , học theo cdio nhưng không có khác biệt quá lớn với các lớp khác , thất vọng .",thầy không dạy kỹ,thầy,Teaching quality,không dạy kỹ,Negative
2411,"thầy không dạy kỹ , bỏ sót một số phần và không sử dụng giờ lên lớp hiệu quả , học theo cdio nhưng không có khác biệt quá lớn với các lớp khác , thất vọng .",bỏ sót một số phần và không sử dụng giờ lên lớp hiệu quả,giờ lên lớp,Teaching quality,bỏ sót một số phần và không sử dụng,Negative
