id,Review,Sentence Component,aspect_text,aspect,sentiment_text,sentiment
51,đặc biệt hơn là thầy đã bỏ rất nhiều công sức trong việc ra bài tập và chấm điểm một cách rõ ràng và minh bạch .,đặc biệt hơn là thầy đã bỏ rất nhiều công sức,thầy đã bỏ rất nhiều công sức,Support from lecturers,rất nhiều công sức,Positive
51,đặc biệt hơn là thầy đã bỏ rất nhiều công sức trong việc ra bài tập và chấm điểm một cách rõ ràng và minh bạch .,bài tập và chấm điểm một cách rõ ràng và minh bạch,bài tập và chấm điểm,Test and evaluation,rõ ràng và minh bạch,Positive
52,cô rất nhiệt tình và tận dụng tốt thời gian .,cô rất nhiệt tình và tận dụng tốt thời gian,nhiệt tình và tận dụng tốt thời gian,Support from lecturers,nhiệt tình và tận dụng tốt,Positive
53,"giảng viên tận tâm , nhiệt huyết trong giảng dạy .",giảng viên tận tâm,giảng viên tận tâm,Support from lecturers,tận tâm,Positive
53,"giảng viên tận tâm , nhiệt huyết trong giảng dạy .",nhiệt huyết trong giảng dạy,giảng dạy,Teaching quality,nhiệt huyết,Positive
54,"thầy nhiệt tình , gần gũi .","thầy nhiệt tình , gần gũi","thầy nhiệt tình , gần gũi",Teaching quality,"nhiệt tình , gần gũi",Positive
55,"giảng viên tận tâm , giảng dễ hiểu , dễ tiếp thu .","giảng viên tận tâm , giảng dễ hiểu , dễ tiếp thu","giảng viên tận tâm , giảng dễ hiểu , dễ tiếp thu",Teaching quality,"tận tâm,dễ hiểu,dễ tiếp thu",Positive
56,tạo ra sự cạnh tranh trong mỗi buổi thực hành .,tạo ra sự cạnh tranh trong mỗi buổi thực hành,buổi thực hành,Learning environment,cạnh tranh,Positive
57,bài tập và có code tham khảo .,bài tập và có code tham khảo,bài tập và có code tham khảo,Course information,bài tập và có code tham khảo,Neutral
58,"cần nâng cấp hệ thống wifi , vì khi vào phòng thực hành , sinh viên không thể truy cập internet , buộc phải xin phép ra ngoài để làm bài .","cần nâng cấp hệ thống wifi , vì khi vào phòng thực hành , sinh viên không thể truy cập internet , buộc phải xin phép ra ngoài để làm bài","hệ thống wifi,phòng thực hành",Learning environment,"không thể truy cập internet,buộc phải xin phép ra ngoài",Negative
59,tài liệu không chi tiết lắm .,tài liệu không chi tiết lắm,tài liệu,Course information,không chi tiết,Negative
60,"tận tâm , nhiệt tình , vui tính , dễ gần với sinh viên .","tận tâm , nhiệt tình , vui tính , dễ gần với sinh viên","tận tâm , nhiệt tình , vui tính , dễ gần",Support from lecturers,"tận tâm , nhiệt tình , vui tính , dễ gần",Positive
61,thầy dạy rất hay và nhiệt tình .,thầy dạy rất hay và nhiệt tình,"thầy dạy,hay,nhiệt tình",Teaching quality,"hay,nhiệt tình",Positive
62,"thầy dạy không đúng giờ , không hướng dẫn sinh viên thực hành .",thầy dạy không đúng giờ,thầy dạy,Teaching quality,không đúng giờ,Negative
62,"thầy dạy không đúng giờ , không hướng dẫn sinh viên thực hành .",không hướng dẫn sinh viên thực hành,không hướng dẫn sinh viên thực hành,Support from lecturers,không hướng dẫn,Negative
63,giúp đỡ học sinh quá ít .,giúp đỡ học sinh quá ít,giúp đỡ,Support from lecturers,quá ít,Negative
64,cô dạy buồn ngủ quá .,cô dạy buồn ngủ quá,cô dạy,Teaching quality,buồn ngủ quá,Negative
65,nên kinh mong nội dung môn học được giảm tải cho phù hợp hơn với đặc thù của một trường công nghệ thông tin .,nên kinh mong nội dung môn học được giảm tải cho phù hợp hơn với đặc thù của một trường công nghệ thông tin,nội dung môn học,Course information,giảm tải cho phù hợp hơn,Positive
66,thầy tận tình vui tính .,thầy tận tình vui tính,tận tình,Support from lecturers,tận tình vui tính,Positive
67,cô lại kiểu khó tính nữa .,cô lại kiểu khó tính nữa,khó tính,Support from lecturers,khó tính,Negative
68,tạo hứng thú cho sinh viên .,tạo hứng thú cho sinh viên,tạo hứng thú,Teaching quality,hứng thú,Positive
69,cô giảng hay cuốn hút và truyền đạt dễ hiểu .,cô giảng hay cuốn hút và truyền đạt dễ hiểu,"cô giảng,truyền đạt dễ hiểu",Teaching quality,"hay,cuốn hút,dễ hiểu",Positive
70,có hứng thú học .,có hứng thú học,hứng thú học,Learning environment,hứng thú,Positive
71,ôn tập đúng theo thầy nhưng không biết cuối kỳ được mấy điểm .,ôn tập đúng theo thầy nhưng không biết cuối kỳ được mấy điểm,"ôn tập,cuối kỳ được mấy điểm",Test and evaluation,không biết,Neutral
72,"giảng viên hướng dẫn cụ thể , chi tiết .","giảng viên hướng dẫn cụ thể , chi tiết","hướng dẫn cụ thể , chi tiết",Support from lecturers,"cụ thể , chi tiết",Positive
73,giáo trình quá ít và nội dung không khác nhau là mấy .,giáo trình quá ít và nội dung không khác nhau là mấy,"giáo trình,nội dung",Course information,"quá ít,không khác nhau",Negative
74,"giáo viên nghỉ dạy liên tục , cuối học kỳ lại tăng học bù , những tiết học bù đó đã ảnh hưởng đến những đồ án , và trễ deadline .",giáo viên nghỉ dạy liên tục,giáo viên nghỉ dạy,Teaching quality,liên tục,Negative
74,"giáo viên nghỉ dạy liên tục , cuối học kỳ lại tăng học bù , những tiết học bù đó đã ảnh hưởng đến những đồ án , và trễ deadline .",cuối học kỳ lại tăng học bù,tăng học bù,Organization and management,tăng,Negative
74,"giáo viên nghỉ dạy liên tục , cuối học kỳ lại tăng học bù , những tiết học bù đó đã ảnh hưởng đến những đồ án , và trễ deadline .",những tiết học bù đó đã ảnh hưởng đến những đồ án,tiết học bù,Workload,ảnh hưởng,Negative
74,"giáo viên nghỉ dạy liên tục , cuối học kỳ lại tăng học bù , những tiết học bù đó đã ảnh hưởng đến những đồ án , và trễ deadline .",và trễ deadline,deadline,Test and evaluation,trễ,Negative
75,"giáo viên lúc dạy lúc không , không dạy cũng không thông báo , sinh viên tốn thời gian , công sức , tiền bạc rồi ngồi đợi và đi về .",giáo viên lúc dạy lúc không,giáo viên lúc dạy lúc không,Teaching quality,lúc dạy lúc không,Negative
75,"giáo viên lúc dạy lúc không , không dạy cũng không thông báo , sinh viên tốn thời gian , công sức , tiền bạc rồi ngồi đợi và đi về .",không dạy cũng không thông báo,dạy,Teaching quality,không thông báo,Negative
75,"giáo viên lúc dạy lúc không , không dạy cũng không thông báo , sinh viên tốn thời gian , công sức , tiền bạc rồi ngồi đợi và đi về .","sinh viên tốn thời gian , công sức , tiền bạc rồi ngồi đợi và đi về","tốn thời gian , công sức , tiền bạc",Learning environment,ngồi đợi và đi về,Negative
76,"cần có một phòng máy tốt hơn , hiện đại hơn .","cần có một phòng máy tốt hơn , hiện đại hơn",phòng máy,Learning environment,"tốt hơn , hiện đại hơn",Positive
77,thầy nên cho làm bài tập tương tự nhau nhiều hơn một vài bài để tránh tình trạng quên hoặc các dạng tựa nhau nhưng hơi khác cách làm .,thầy nên cho làm bài tập tương tự nhau nhiều hơn một vài bài để tránh tình trạng quên hoặc các dạng tựa nhau nhưng hơi khác cách làm,làm bài tập tương tự nhau nhiều hơn,Workload,tránh tình trạng quên,Positive
78,"không ngờ môn này lại chán đến như vậy , không học được gì từ môn này , thầy dạy chán kinh khủng , hay đi trễ từ 30 - 45 phút , không nhiệt tình .",không ngờ môn này lại chán đến như vậy,môn này,Course information,chán,Negative
78,"không ngờ môn này lại chán đến như vậy , không học được gì từ môn này , thầy dạy chán kinh khủng , hay đi trễ từ 30 - 45 phút , không nhiệt tình .",không học được gì từ môn này,môn này,Course information,không học được gì,Negative
78,"không ngờ môn này lại chán đến như vậy , không học được gì từ môn này , thầy dạy chán kinh khủng , hay đi trễ từ 30 - 45 phút , không nhiệt tình .",thầy dạy chán kinh khủng,thầy dạy,Teaching quality,chán kinh khủng,Negative
78,"không ngờ môn này lại chán đến như vậy , không học được gì từ môn này , thầy dạy chán kinh khủng , hay đi trễ từ 30 - 45 phút , không nhiệt tình .",hay đi trễ từ 30 - 45 phút,hay đi trễ từ 30 - 45 phút,Support from lecturers,đi trễ,Negative
78,"không ngờ môn này lại chán đến như vậy , không học được gì từ môn này , thầy dạy chán kinh khủng , hay đi trễ từ 30 - 45 phút , không nhiệt tình .",không nhiệt tình,nhiệt tình,Support from lecturers,không nhiệt tình,Negative
79,giảng viên đánh giá sai điểm và năng lực của học sinh .,giảng viên đánh giá sai điểm và năng lực của học sinh,đánh giá,Test and evaluation,sai,Negative
80,không đáp ứng được đề cương môn học đề ra .,không đáp ứng được đề cương môn học đề ra,đề cương môn học,Course information,không đáp ứng,Negative
81,thầy nên hướng dẫn thực hành nhiều hơn .,thầy nên hướng dẫn thực hành nhiều hơn,hướng dẫn thực hành,Support from lecturers,nhiều hơn,Positive
82,"giảng viên thân thiện , quan tâm tới sinh viên .","giảng viên thân thiện , quan tâm tới sinh viên","giảng viên thân thiện , quan tâm",Support from lecturers,"thân thiện , quan tâm",Positive
83,"môn lập trình hướng đối tượng nên cập nhật thêm những nội dung mới , dễ hiểu và giảng giải cụ thể hơn .","môn lập trình hướng đối tượng nên cập nhật thêm những nội dung mới , dễ hiểu và giảng giải cụ thể hơn",môn lập trình hướng đối tượng,Course information,dễ hiểu và giảng giải cụ thể hơn,Positive
84,"giáo viên nhiệt tình , tâm huyết , khả năng truyền đạt tốt .","giáo viên nhiệt tình , tâm huyết , khả năng truyền đạt tốt",khả năng truyền đạt tốt,Teaching quality,"nhiệt tình,tâm huyết,tốt",Positive
85,thầy dạy rất tốt và nhiệt tình .,thầy dạy rất tốt và nhiệt tình,thầy dạy,Teaching quality,rất tốt và nhiệt tình,Positive
86,"cô nói hơi nhỏ , nếu lớp ồn sẽ khó nghe .","cô nói hơi nhỏ , nếu lớp ồn sẽ khó nghe",cô nói,Teaching quality,"nhỏ,khó nghe",Negative
87,"bài tập cô đưa ra nhiều , và khó tìm hiểu , với kiến thực hiện tại của sinh viên thì khó có thể tìm hiểu và làm tốt bài tập cô ra .","bài tập cô đưa ra nhiều , và khó tìm hiểu , với kiến thực hiện tại của sinh viên thì khó có thể tìm hiểu và làm tốt bài tập cô ra",bài tập,Workload,"nhiều,khó",Negative
88,bài tập và hoạt động nhóm còn ít .,bài tập và hoạt động nhóm còn ít,bài tập và hoạt động nhóm,Workload,ít,Negative
89,"giảng viên rất nhiệt tình , phương pháp giảng dạy hay , sinh viên nắm bắt kiến thức ngay trên lớp .",giảng viên rất nhiệt tình,nhiệt tình,Teaching quality,nhiệt tình,Positive
89,"giảng viên rất nhiệt tình , phương pháp giảng dạy hay , sinh viên nắm bắt kiến thức ngay trên lớp .",phương pháp giảng dạy hay,phương pháp giảng dạy,Teaching quality,hay,Positive
89,"giảng viên rất nhiệt tình , phương pháp giảng dạy hay , sinh viên nắm bắt kiến thức ngay trên lớp .",sinh viên nắm bắt kiến thức ngay trên lớp,nắm bắt kiến thức ngay trên lớp,Teaching quality,nắm bắt kiến thức,Positive
90,cô hướng dẫn thực hành khá đầy đủ .,cô hướng dẫn thực hành khá đầy đủ,hướng dẫn thực hành,Support from lecturers,đầy đủ,Positive
91,được học nhiều kinh nghiệm từ thầy wzjwz163 .,được học nhiều kinh nghiệm từ thầy wzjwz163,kinh nghiệm từ thầy,Teaching quality,được học nhiều,Positive
92,"kiến thức của thầy rất tốt , bảo đảm giờ lên lớp .",kiến thức của thầy rất tốt,kiến thức của thầy,Teaching quality,tốt,Positive
92,"kiến thức của thầy rất tốt , bảo đảm giờ lên lớp .",bảo đảm giờ lên lớp,bảo đảm giờ lên lớp,Teaching quality,bảo đảm,Positive
93,hiện tại em chưa thấy tác dụng gì nhiều khi học môn này .,hiện tại em chưa thấy tác dụng gì nhiều khi học môn này,môn này,Course information,chưa thấy tác dụng,Negative
94,cải thiện lại cơ sở vật chất máy chiếu trong phòng học .,cải thiện lại cơ sở vật chất máy chiếu trong phòng học,cơ sở vật chất máy chiếu trong phòng học,Learning environment,cải thiện,Positive
95,dạy không phù hợp với cách học của em .,dạy không phù hợp với cách học của em,dạy,Teaching quality,không phù hợp,Negative
96,giải thích nội dung mới rõ ràng .,giải thích nội dung mới rõ ràng,nội dung,Teaching quality,rõ ràng,Positive
97,lớp học quá đông !,lớp học quá đông,lớp học,Learning environment,quá đông,Negative
98,"môn căn bản mà thầy không dạy cho sinh viên kỹ , gây không hiểu , mất căn bản .","môn căn bản mà thầy không dạy cho sinh viên kỹ , gây không hiểu , mất căn bản",thầy không dạy,Teaching quality,"gây không hiểu , mất căn bản",Negative
99,"giảng viên chưa cho bài tập về nhà để sinh viên làm nên cho 5 bài mỗi chương , không cần chữa chỉ cần đáp án .","giảng viên chưa cho bài tập về nhà để sinh viên làm nên cho 5 bài mỗi chương , không cần chữa chỉ cần đáp án",bài tập về nhà,Workload,không cần chữa,Negative
100,"mà hiện tại trường ta chưa có , đây là thiệt thòi lớn đối với tụi em .","mà hiện tại trường ta chưa có , đây là thiệt thòi lớn đối với tụi em",trường ta chưa có,General review,thiệt thòi lớn,Negative
